asn,hostname_count,ip_count,country,org_name,org_tags
63629,28,11,CN,"Beijing Autohome imformation technology Co.,Ltd","Not Validating RPKI ROV|Media, Publishing, and Broadcasting|Manufacturing"
4611,27,25,CN,CNNIC member,Tranco 10k Host|Computer and Information Technology|Internet Service Provider (ISP)
131495,27,12,CN,"Beijing nine cloud infinite network technology co., LTD",Software Development|Internet Service Provider (ISP)|Computer and Information Technology
134810,27,19,CN,China Mobile Communications Corporation,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)
136189,27,7,CN,"Opera Software Technology (Beijing) Co., Ltd.","Computer and Information Technology|Law, Business, and Consulting Services|Service"
137735,27,53,CN,China Construction Bank,"Corporate/Enterprise|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
138377,27,27,CN,China Education and Research Network (CERNET),IPv6 only|Not Validating RPKI ROV|Computer and Information Technology
136197,26,42,CN,"Xiong'an, Hebei Province, P.R.China.",Computer and Information Technology|Internet Service Provider (ISP)
138982,26,13,CN,China Telecom,Phone Provider|Not Validating RPKI ROV|Internet Service Provider (ISP)
149837,26,6,CN,China Telecom,"Media, Publishing, and Broadcasting|Music and Video Industry|Museums, Libraries, and Entertainment"
10212,25,22,CN,China Enterprise ICT Solutions Limited,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
38027,25,18,CN,"Information Center, Ministry of Sci and Tech","Government|Education and Research|Colleges, Universities, and Professional Schools"
56006,25,28,CN,"Shanghai Pudong Development Bank Co.,Ltd.","Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
138440,25,16,CN,China Education and Research Network (CERNET),IPv6 only|Computer and Information Technology|Internet Service Provider (ISP)
140330,25,20,CN,China Telecom,"Music and Video Industry|Museums, Libraries, and Entertainment|Media, Publishing, and Broadcasting"
146814,25,12,CN,"Hong Kong University of Science and Technology, Dongchung Town,",Online Informational Content|Computer and Information Technology|Internet Service Provider (ISP)
18239,24,22,CN,"NO.11 Xi San Huan Zhong Road,Beijing",Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
138457,23,7,CN,China Academy of Information and Communications Technology,Research and Development Organizations|Education and Research|Internet Critical Infra
