asn,degree,betweenness,eigenvector,pagerank,rank_degree,rank_betweenness,rank_eigenvector,rank_pagerank
45090,0.0002174759059588398,1.2432298199120467e-05,8.842449553560752e-06,3.670598438780518e-05,9048,6499,58471,2988
55990,0.00020602980564521665,1.5397161476755326e-05,8.751294270381327e-06,3.58626872287743e-05,9300,5864,58630,3070
140330,0.00012590710344985464,9.161144915530429e-05,2.768252510350717e-05,3.428574081079069e-05,11598,2296,47416,3196
209650,0.0010301490282260833,2.676336035483296e-06,0.00723552077156952,3.383393281188162e-05,2273,11211,1933,3225
133865,0.0006409816175628963,0.00020275974856985479,0.00410932978950983,3.0679958338646425e-05,3337,1638,4645,3521
146762,0.0007439965203855046,1.5497599192119906e-05,0.00479434941147773,3.051329730412497e-05,2828,5852,3685,3543
133111,0.00016024540439072408,2.83064026146121e-05,5.440219059292012e-06,2.7706043432743725e-05,10500,4257,63139,3844
56046,0.00014879930407710092,2.4840163351053725e-05,4.131101168384483e-07,2.7311563597239174e-05,10850,4511,75440,3890
7497,0.0004120596112904333,5.9017243866144917e-05,0.0020262711375395575,2.657799258775118e-05,6293,2843,7405,3975
23724,0.00020602980564521665,4.781319377108349e-05,4.246713701206101e-05,2.6259400880445732e-05,9310,3164,41192,4033
59019,0.00013735320376347777,2.3036057266041262e-05,4.507496872770882e-07,2.6128847300339802e-05,11212,4794,75180,4050
38365,0.00013735320376347777,2.1764934020644712e-05,8.656117136439234e-06,2.6003840767246e-05,11214,5207,58734,4063
24138,0.00012590710344985464,2.314664344936666e-05,1.0193274524588851e-07,2.519712183450395e-05,11611,4757,79209,4192
23911,0.00016024540439072408,0.04212101581905456,0.0003000639392083643,2.403814021503917e-05,10509,5,14801,4435
4842,0.0003433830094086944,0.0003789680771364112,0.002039244979440591,2.2563117455991043e-05,7158,1081,7376,4789
137718,0.00012590710344985464,6.2259008128349e-08,4.634716327505161e-07,2.2520106290192215e-05,11618,22858,75113,4795
56041,0.00010301490282260833,3.435462543097765e-05,3.05716634598194e-07,2.249197146494221e-05,12587,3906,76485,4806
142111,0.0004921823134857953,1.3343019976659634e-06,0.003588381521831645,2.177795665146727e-05,5290,12992,5298,5008
4811,0.00016024540439072408,7.191928091243684e-06,1.7849059595921993e-05,2.143975584515191e-05,10518,9382,51557,5101
10212,0.00011446100313623148,6.787723142041838e-07,4.6465244141186446e-07,2.1085767542176615e-05,12082,15013,75080,5233
153185,0.00013735320376347777,1.0525328938484234e-05,5.7322179271931736e-05,1.986086187012143e-05,11239,8797,35652,5741
58466,0.00012590710344985464,2.6347786848583326e-05,1.741045805477903e-05,1.9627479546286253e-05,11635,4402,51718,5861
212793,0.0005723050156811574,1.931679161375466e-07,0.004452595283889268,1.9481787824101314e-05,4199,18927,4169,5930
